"","approach","tax_rank","taxid","abundance","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","control",4,"N60685_25506",0.125278157722909,"Bacteria","Planctomycetota","Planctomycetes",NA,NA,NA,NA
"2","treatment",8,"N60685_25506",0.00834828713414813,"Bacteria","Planctomycetota","Planctomycetes",NA,NA,NA,NA
"3","control",20,"N24345_1716",0.004007561213264,"Bacteria","Verrucomicrobiota","Kiritimatiellae",NA,NA,NA,NA
"4","treatment",10,"N12526_1578",0.00343116967021584,"Bacteria","Acidobacteriota","Holophagae",NA,NA,NA,NA
"5","control",18,"N22467_2379",0.00448743379765494,"Bacteria","Bacteroidota","Kapabacteria",NA,NA,NA,NA
"6","treatment",13,"N22467_2379",0.00264405139700054,"Bacteria","Bacteroidota","Kapabacteria",NA,NA,NA,NA
"7","control",16,"N56193_1135",0.00646071081306364,"Bacteria","Acidobacteriota","Acidobacteriae",NA,NA,NA,NA
"8","treatment",18,"N56193_1135",0.0012714084590659,"Bacteria","Acidobacteriota","Acidobacteriae",NA,NA,NA,NA
"9","control",14,"N54361_1855",0.0079439883887459,"Bacteria","Dependentiae","Babeliae",NA,NA,NA,NA
"10","treatment",12,"N54361_1855",0.00274705826938909,"Bacteria","Dependentiae","Babeliae",NA,NA,NA,NA
"11","treatment",16,"N2603_1049",0.00149758310409001,"Bacteria","Firmicutes","Bacilli",NA,NA,NA,NA
"12","control",1,"N63424_189047",0.304337670070468,"Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"13","treatment",1,"N63424_189047",0.717324081705944,"Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"14","control",5,"N855_4224",0.0352547927689234,"Bacteria","Verrucomicrobiota","Verrucomicrobiae",NA,NA,NA,NA
"15","treatment",4,"N855_4224",0.0181266974565346,"Bacteria","Verrucomicrobiota","Verrucomicrobiae",NA,NA,NA,NA
"16","control",2,"N22382_8212",0.170925227002048,"Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"17","treatment",3,"N22382_8212",0.0688546806662437,"Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"18","treatment",9,"N67867_6805",0.00640539822355423,"Bacteria","Spirochaetota","Leptospirae",NA,NA,NA,NA
"19","control",8,"N29777_6890",0.0173423177066592,"Bacteria","Planctomycetota","vadinHA49",NA,NA,NA,NA
"20","treatment",6,"N29777_6890",0.0138236803633395,"Bacteria","Planctomycetota","vadinHA49",NA,NA,NA,NA
"21","control",9,"N53522_5191",0.0157738418201549,"Bacteria","Myxococcota","Polyangia",NA,NA,NA,NA
"22","treatment",5,"N53522_5191",0.0159820809607577,"Bacteria","Myxococcota","Polyangia",NA,NA,NA,NA
"23","control",19,"N12313_2625",0.00412952849175071,"Bacteria","Desulfobacterota","Desulfobacterota Phylum",NA,NA,NA,NA
"24","treatment",19,"N12313_2625",0.00113668507650385,"Bacteria","Desulfobacterota","Desulfobacterota Phylum",NA,NA,NA,NA
"25","control",17,"N58980_2181",0.00635141485500437,"Bacteria","Firmicutes","Clostridia",NA,NA,NA,NA
"26","treatment",14,"N58980_2181",0.00237264422808343,"Bacteria","Firmicutes","Clostridia",NA,NA,NA,NA
"27","control",7,"N68082_1028",0.0208829442054794,"Bacteria","Acidobacteriota","Vicinamibacteria",NA,NA,NA,NA
"28","control",3,"N25198_18666",0.169700540548386,"Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"29","treatment",2,"N25198_18666",0.110207607663711,"Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"30","control",11,"N10425_2344",0.0105132791848133,"Bacteria","Bdellovibrionota","Oligoflexia",NA,NA,NA,NA
"31","treatment",17,"N10425_2344",0.00141208041540484,"Bacteria","Bdellovibrionota","Oligoflexia",NA,NA,NA,NA
"32","control",15,"N45007_6128",0.00721260907294824,"Bacteria","Bdellovibrionota","Bdellovibrionia",NA,NA,NA,NA
"33","treatment",7,"N45007_6128",0.0099165385919791,"Bacteria","Bdellovibrionota","Bdellovibrionia",NA,NA,NA,NA
"34","treatment",15,"N30262_1882",0.00218168075503281,"Bacteria","Cyanobacteria","Sericytochromatia",NA,NA,NA,NA
"35","control",6,"N38436_1992",0.0214939130832153,"Bacteria","Planctomycetota","OM190",NA,NA,NA,NA
"36","treatment",11,"N38436_1992",0.00338165040518327,"Bacteria","Planctomycetota","OM190",NA,NA,NA,NA
"37","treatment",20,"N9710_1130",0.00105021186511894,"Bacteria","Cyanobacteria","Vampirivibrionia",NA,NA,NA,NA
"38","control",12,"N12934_885",0.00951869282172133,"Bacteria","Actinobacteriota","Actinobacteria",NA,NA,NA,NA
"39","control",13,"N24011_1136",0.00859124331652403,"Bacteria","Nitrospirota","Nitrospiria",NA,NA,NA,NA
"40","control",10,"N19944_564",0.010635155632218,"Bacteria","Gemmatimonadota","Gemmatimonadetes",NA,NA,NA,NA
